gene	num_common_functional	total_coding_variants
TMEM147	0	410
TMEM150B	1	209
TMEM160	1	463
TMEM161A	1	952
TMEM190	1	369
TMEM205	0	157
TMEM38A	1	522
TMEM59L	3	704
TMEM86B	3	534
TMIGD2	6	554
TMPRSS15	12	1885
TMPRSS2	4	1002
TMX4	2	599
TNFSF9	3	580
TNNC2	0	266
TNNI3	0	262
TOMM34	0	389
TOP1	1	742
TOX2	7	944
TP53TG5	3	438
TPX2	2	1098
TRAPPC10	4	1675
TRIB3	7	733
TRIM28	2	1609
TRIP10	1	651
TRIR	0	347
TRMT6	1	835
TRPC4AP	1	1348
TRPM4	9	2494
TSHZ2	0	12
TSHZ3	4	1860
TSKS	4	1177
TSLIG3C	5	739
TSPEAR	7	1468
TTI1	5	1757
TTPAL	1	545
TUBB1	7	860
TUBB4A	0	133
TULP2	6	975
U2AF2	0	479
UBA2	2	682
UBE2M	0	113
UBE2S	2	358
UBOX5	3	907
UBXN6	1	353
UCKL1	0	1197
UMODL1	0	1
UNC13A	5	1889
UPF1	0	1092
UQCRFS1	0	104
URB1	11	3153
USE1	2	503
USF2	0	519
USHBP1	6	1351
USP29	7	1559
VASP	1	695
VMAC	2	195
VN1R1	2	572
VN1R2	4	608
VPS26C	0	477
VRK3	8	862
VSIG10L	5	646
VSTM1	2	465
VSTM2B	3	665
WDR88	3	664
WFDC10B	1	146
WFDC11	1	152
WFDC12	0	212
WFDC13	1	152
WFDC3	5	395
WFDC5	2	235
WFDC8	4	427
WFDC9	2	135
XAB2	1	370
XKR7	2	1020
XRCC1	8	1057
XRN2	2	1355
YJU2	1	555
YJU2B	2	348
YWHAB	0	194
ZBP1	10	842
ZBTB21	5	1801
ZBTB46	2	1089
ZBTB7A	2	1089
ZC3H4	4	2576
ZFP14	3	656
ZFP28	5	1398
ZFP64	3	1156
ZFP82	0	727
ZFR2	10	2197
ZIM2	6	324
ZIM3	2	119
ZNF100	1	70
ZNF121	1	551
ZNF132	2	1221
ZNF134	3	749
ZNF135	1	102
ZNF136	0	817
ZNF14	1	1010
ZNF155	5	869
ZNF17	3	1036
ZNF175	5	1081
ZNF20	3	743
ZNF208	6	919
ZNF211	2	977
ZNF223	6	679
ZNF225	6	1094
ZNF227	2	1293
ZNF229	0	4
ZNF230	8	754
ZNF234	8	1029
ZNF235	7	1150
ZNF254	7	1252
ZNF256	3	970
ZNF260	1	647
ZNF264	3	1112
ZNF284	4	948
ZNF304	5	984
ZNF317	2	1041
ZNF324	2	1223
ZNF324B	2	1000
ZNF333	6	1076
ZNF335	5	2745
ZNF337	5	1294
ZNF343	4	962
ZNF347	4	1425
ZNF350	7	772
ZNF382	5	780
ZNF415	8	876
ZNF416	3	980
ZNF418	2	1159
ZNF426	2	983
ZNF428	1	322
ZNF429	10	1194
ZNF43	5	1255
ZNF430	2	825
ZNF431	3	854
ZNF432	4	1098
ZNF440	9	1020
ZNF441	4	1008
ZNF442	11	965
ZNF444	4	793
ZNF45	7	1029
ZNF460	1	764
ZNF470	5	1301
ZNF471	7	945
ZNF473	14	1299
ZNF486	6	1013
ZNF490	2	799
ZNF491	5	736
ZNF512B	4	1400
ZNF526	2	432
ZNF528	5	1187
ZNF536	7	2378
ZNF540	1	932
ZNF541	0	159
ZNF543	9	1104
ZNF546	7	1286
ZNF547	2	653
ZNF548	5	852
ZNF551	4	1117
ZNF552	0	76
ZNF554	3	964
ZNF555	0	1078
ZNF556	7	907
ZNF557	1	739
ZNF560	4	1324
ZNF561	1	148
ZNF563	3	749
ZNF564	1	878
ZNF565	3	754
ZNF568	3	914
ZNF569	0	946
ZNF57	7	979
ZNF570	1	791
ZNF575	0	514
ZNF576	2	291
ZNF581	0	388
ZNF584	3	719
ZNF585A	0	156
ZNF599	9	978
ZNF607	8	1185
ZNF613	3	923
ZNF614	0	8
ZNF625	0	1
ZNF627	0	719
ZNF649	0	121
ZNF653	3	990
ZNF665	8	1129
ZNF671	3	928
ZNF675	3	910
ZNF681	6	1012
ZNF700	7	1194
ZNF708	9	794
ZNF709	2	828
ZNF729	1	64
ZNF730	5	759
ZNF737	5	900
ZNF749	6	1264
ZNF766	4	632
ZNF77	8	1060
ZNF776	0	800
ZNF784	2	762
ZNF790	5	1022
ZNF791	0	799
ZNF792	5	1051
ZNF8	0	1
ZNF814	0	57
ZNF823	3	853
ZNF829	1	537
ZNF83	9	801
ZNF831	13	3260
ZNF835	6	1175
ZNF836	0	7
ZNF844	13	1099
ZNF845	7	1482
ZNF846	6	998
ZNF85	7	781
ZNF865	0	1328
ZNF878	0	1
ZNF880	7	731
ZNF90	6	1052
ZNF91	12	1745
ZNF93	6	844
ZNF98	0	9
ZNRF4	10	894
ZSCAN1	3	857
ZSCAN22	3	862
ZSCAN4	0	214
ZSCAN5B	8	479
ZSWIM3	2	970
